STATE,LGA,WARD,POLLING UNIT,,APC,PDP,LP,NNPP,,,,,,,,,
DELTA,OKPE,OHA II,"ADAGBRASSA TOWN HALL, ADAGBRASSA IV",,16,40,21,0,,,,,,,,,
DELTA,OKPE,OHA II,"ADAGBRASSA TOWN HALL, ADAGBRASSA III",,23,43,16,0,,,,,,,,,
DELTA,OKPE,OHA II,"ADAGBRASSA TOWN HALL, ADAGBRASSA II",,22,40,15,0,,,,,,,,,
DELTA,OKPE,OHA II,"ADAGBRASSA TOWN HALL, ADAGBRASSA I",,23,45,22,0,,,,,,,,,
DELTA,OKPE,AGHALOKPE,"PRIMARY HEALTH CARE CENTER,ADARHO",,3,5,1,0,,,,,,,,,
DELTA,OKPE,AGHALOKPE,"IGUGUDU HOWN HALL,IGUGUDU AGHALOKPE",,33,58,6,0,,,,,,,,,
DELTA,OKPE,AGHALOKPE,"OHWAROHWA TOWN HALL,OHWAROHWA ",,37,21,22,0,,,,,,,,,
DELTA,OKPE,AGHALOKPE,"AJAGUOYIBO TOWN HALL,AJAGUOYIBO II",,11,46,3,0,,,,,,,,,
DELTA,OKPE,AGHALOKPE,"AJAGUOYIBO TOWN HALL,AJAGUOYIBO I",,21,75,8,0,,,,,,,,,
DELTA,OKPE,AGHALOKPE,"UNURHIE TOWN,AGHALOKPE",,43,110,25,0,,,,,,,,,
DELTA,OKPE,AGHALOKPE,"OGONI PRIMARY SCHOOL, AGHALOKPE IV",,14,22,14,0,,,,,,,,,
DELTA,OKPE,AGHALOKPE,"OGONI PRIMARY SCHOOL, AGHALOKPE I",,17,55,7,0,,,,,,,,,
DELTA,OKPE,AGHALOKPE,"AJAGOLO PRIMARY SCHOOL,AGHALOKPE",,10,17,5,0,,,,,,,,,
DELTA,OKPE,AGHALOKPE,"AJAGOLO PRIMARY SCHOOL,AGHALOKPE I",,5,36,12,0,,,,,,,,,
DELTA,OKPE,AGHALOKPE,S.P.C.C AGHALOKPE II,,42,47,28,0,,,,,,,,,
DELTA,OKPE,AGHALOKPE,S.P.C.C AGHALOKPE I,,20,40,32,0,,,,,,,,,
DELTA,OKPE,ARAGBA TOWN,"ADAGRASSA PRIMARY SCHOOL II, ADAGBRASSA",,9,12,8,0,,,,,,,,,
DELTA,OKPE,ARAGBA TOWN,"ADAGRASSA PRIMARY SCHOOL II, ADAGBRASSA","PRIMARY SCHOOL I, ADAGBRASSA",6,21,8,0,,,,,,,,,
DELTA,OKPE,ARAGBA TOWN,"OGIRIBO TOWN HALL,OGIRIBO",,36,8,3,0,,,,,,,,,
DELTA,OKPE,ARAGBA TOWN,"ADAVWARE TOWN HALL, ADAVWARE",,42,47,8,0,,,,,,,,,
DELTA,OKPE,ARAGBA TOWN,"ADAGRASSA TOWN HALL II, ADAGBRASSA",,49,118,16,0,,,,,,,,,
DELTA,OKPE,ARAGBA TOWN,"ADAGRASSA TOWN HALL , ADAGBRASSA I",,66,96,15,0,,,,,,,,,
DELTA,OKPE,ARAGBA TOWN,"OVWORI PRIMARY SCHOOL,OVWORI II",,20,32,8,0,,,,,,,,,
DELTA,OKPE,ARAGBA TOWN,"OVWORI PRIMARY SCHOOL,OVWORI II","PRIMARY SCHOOL,OVWORI I",27,44,10,0,,,,,,,,,
DELTA,OKPE,ARAGBA TOWN,"EDJEBA PRIMARY SCHOOL, EDJEBA",,8,12,4,0,,,,,,,,,
DELTA,OKPE,ARAGBA TOWN,"ARAGBA TOWN HALL, ARAGBA IV",,27,46,9,0,,,,,,,,,
DELTA,OKPE,ARAGBA TOWN,"ARAGBA TOWN HALL, ARAGBA III",,43,60,13,0,,,,,,,,,
DELTA,OKPE,ARAGBA TOWN,"ARAGBA TOWN HALL, ARAGBA II",,23,41,20,0,,,,,,,,,
DELTA,OKPE,ARAGBA TOWN,"ARAGBA TOWN HALL,ARAGBA I",,21,44,10,0,,,,,,,,,
DELTA,OKPE,MEREJE I,"ORHUE SECONDARY SCHOOL,MEREJE",,10,34,5,0,,,,,,,,,
DELTA,OKPE,MEREJE I,"ORHUE PRIMARY SCHOOL,MEREJE",,14,78,20,0,,,,,,,,,
DELTA,OKPE,MEREJE I,"OPEN SPACE BY J2Y HOTEL JUNCTION ,EGBORODE",,4,15,16,0,,,,,,,,,
DELTA,OKPE,MEREJE I,"OPEN SPACE BY EGBORODE JUNCTION ,EGBORODE",,5,15,120,1,,,,,,,,,
DELTA,OKPE,MEREJE I,"EGBORODE PRIMARY SCHOOL III,EGBORODE",,3,7,18,0,,,,,,,,,
DELTA,OKPE,MEREJE I,"OKWUVO TOWN HALL, OKWUVO II",,19,50,13,0,,,,,,,,,
DELTA,OKPE,MEREJE I,"OKWUVO TOWN HALL, OKWUVO I",,19,44,13,0,,,,,,,,,
DELTA,OKPE,MEREJE I,"OKWOKOLO TOWN HALL,OKWOKOLO II",,13,24,28,0,,,,,,,,,
DELTA,OKPE,MEREJE I,"OKWOKOLO TOWN HALL,OKWOKOLO I",,23,43,31,0,,,,,,,,,
DELTA,OKPE,MEREJE I,"IFUAMA TOWN HALL,EROGHOR",,34,67,6,0,,,,,,,,,
DELTA,OKPE,MEREJE I,"MEREJE TOWN HALL,MEREJE IV",,15,69,27,0,,,,,,,,,
DELTA,OKPE,MEREJE I,"MEREJE TOWN HALL,MEREJE III",,10,94,37,0,,,,,,,,,
DELTA,OKPE,MEREJE I,"MEREJE TOWN HALL,MEREJE I",,19,69,32,0,,,,,,,,,
DELTA,OKPE,MEREJE I,"EGBORODE TOWN HALL,EGBORODE III",,43,120,42,0,,,,,,,,,
DELTA,OKPE,MEREJE I,"EGBORODE TOWN HALL,EGBORODE II",,17,53,28,0,,,,,,,,,
DELTA,OKPE,MEREJE I,"EGBORODE TOWN HALL,EGBORODE I",,2,64,34,0,,,,,,,,,
DELTA,OKPE,MEREJE I,"EKOKOR PRIMARY SCHOOL, EKOKOR I",,21,91,9,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"OVIRI COURT,ADEJE",,95,59,36,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"ALELODJE TOWN HALL, ALELODJE",,51,70,21,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"OVIRI COURT HALL II,ADEJE",,56,12,18,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"ADEJE SECONDARY SCHOOL,ADEJE",,25,26,52,1,,,,,,,,,
DELTA,OKPE,MEREJE II,"ADEJE PRIMARY SCHOOL,ADEJE II",,55,56,54,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"OKUEMOEFE TOWN HALL,OKUEMOEFE",,41,39,6,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"OKWEJEBA TOWN HALL,OKWEJEBA",,26,71,27,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"OP[EN SPACE BY IDUMUINUAYEFE,OKUGBOGBO",,3,6,1,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"OKUGBOGBO TOWN HALL,OKU GBOGBO",,26,49,14,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"IRIAMA PRIMARY SCHOOL,IRIAMA II",,39,61,7,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"OPURAJA PRIMARY SCHOOL,OPURAJA IV ",,13,42,5,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"ADEJE CUSTOMARY COURT,ADEJE",,34,38,39,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"OTOMEWO TOWN HALL,OTOMEWO",,44,54,53,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"EGBELEKU PRIMARY SCHOOL,EGEBELEKU",,95,35,15,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"OKWIJOROGU TOWN HALL, OKWIJOROGU",,37,47,40,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"IKPOKPOGRI TOWN HALL,IKPOKPOGRI",,26,85,37,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"ADEJE TOWN HALL,ADEJE",,47,56,59,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"IRIAMA PRIMARY SCHOOL,IRIAMA I",,24,62,9,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"OPURAJA PRIMARY SCHOOL,OPURAJA I ",,12,61,19,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"ADEJE PRIMARY SCHOOL,ADEJE III",,23,26,21,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"OKWEJEBA TOWN HALL,OKWEJEBA",,49,82,23,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"OPURAJA PRIMARY SCHOOL,OPURAJA II",,25,93,17,0,,,,,,,,,
DELTA,OKPE,MEREJE II,"OPURAJA PRIMARY SCHOOL,OPURAJA III",,9,24,7,0,,,,,,,,,
DELTA,OKPE,MEREJE III,"OKOBIA PRIMARY SCHOOL,OKOBIA II",,17,57,5,0,,,,,,,,,
DELTA,OKPE,MEREJE III,"OKOLOVU TOWN HALL,OKOLOVU",,52,48,10,0,,,,,,,,,
DELTA,OKPE,MEREJE III,"OKUETOLOP TOWN HALL,OKUETOLOP II",,34,66,9,0,,,,,,,,,
DELTA,OKPE,MEREJE III,"OKUABUDE TOWN HALL II,OKUABUDE",,6,9,8,0,,,,,,,,,
DELTA,OKPE,MEREJE III,"OKOBIA PRIMARY SCHOOL,OKOBIA I",,23,62,12,0,,,,,,,,,
DELTA,OKPE,MEREJE III,"OKUOGHOLO TOWN HALL,OKUOGHOLO",,13,29,22,0,,,,,,,,,
DELTA,OKPE,MEREJE III,"OKUOBUDE TOWN HALL, OKUOBUDE",,72,108,50,0,,,,,,,,,
DELTA,OKPE,MEREJE III,"OKUETOLOP TOWN HALL,OKUETOLOP III",,34,54,11,0,,,,,,,,,
DELTA,OKPE,MEREJE III,"OKUETOLOP TOWN HALL,OKUETOLOP I",,22,52,10,0,,,,,,,,,
DELTA,OKPE,MEREJE III,"OKUEGUME TOWN HALL,OKUEGUME",,12,60,2,0,,,,,,,,,
DELTA,OKPE,MEREJE III,"OYENKE TOWN HALL,OYENKE I",,8,60,17,0,,,,,,,,,
DELTA,OKPE,MEREJE III,"JAKPA TOWN HALL,JAKPA",,17,70,6,0,,,,,,,,,
DELTA,OKPE,UGHOTON,"GOVERNMENT HEALTH CARE CENTER I,JEDDO",,3,4,70,0,,,,,,,,,
DELTA,OKPE,UGHOTON,"OPEN SPACE OPPOSITE CATHOLIC CHURCH, JEDDO",,2,1,26,0,,,,,,,,,
DELTA,OKPE,UGHOTON,"OPEN SPACE BY UGBOKODO MARKET SQUARE, UGBOKODO",,10,26,52,0,,,,,,,,,
DELTA,OKPE,UGHOTON,"UGHOTON PRIMARY SCHOOL,UGHOTON",,18,34,67,0,,,,,,,,,
DELTA,OKPE,UGHOTON,"UDUMUGAGWORO,JEDDO",,8,15,64,0,,,,,,,,,
DELTA,OKPE,UGHOTON,"OPEN SPACE BY JEDDO AIR FORCE MESS,JEDDO",,4,10,83,0,,,,,,,,,
